Player,Salary,Signed Using,Guaranteed,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Cole Aldrich,7300000,Cap Space,"$9,356,021",C,29,MIN,19,46,5.2,0.34,0,0.4,7.5,25.4,16.4,5.9,2.2,1.9,5.4,17.9,-0.1,0.1,0,-0.033,-7.4,-0.6,-8,-0.1
Cody Zeller,12584270,1st Round Pick,"$56,000,000",C,25,CHO,33,627,16,0.602,0.019,0.545,11.3,19.4,15.3,7.4,1.1,2.8,14.6,15.7,1.2,0.7,1.9,0.144,-0.7,1.2,0.5,0.4
Clint Capela,2334520,1st Round Pick,"$2,334,520",C,23,HOU,71,1955,24.6,0.65,0.002,0.383,13.5,31,22.3,5.8,1.4,5.8,11.6,19.5,6,3.9,9.9,0.242,0.1,2.9,3,2.5
Chris Paul,24599495,Bird Rights,"$24,599,495",PG,32,HOU,55,1753,24.3,0.601,0.475,0.288,2.3,17,9.7,40.7,2.6,0.7,12.7,24.3,7,2.6,9.6,0.262,6,1,7,4
Chris McCullough,1471382,1st Round pick,"$1,471,382",PF,22,WAS,19,90,15.8,0.478,0.19,0.333,8.9,22.6,15.7,7.1,0,4.8,4,24.6,0.1,0.1,0.2,0.081,-3.8,-1.9,-5.7,-0.1
Chris Boucher,0,,$0,PF,25,GSW,1,1,-28.5,0,1,0,0,100,55.9,0,0,0,0,43.9,0,0,0,-0.894,-39,-20,-59,0
Cheick Diallo,1312611,Minimum Salary,"$1,812,611",PF,21,NOP,48,538,17.4,0.619,0,0.365,8.8,29.7,19.6,4.8,0.9,2.8,11,17.6,1.1,0.7,1.8,0.161,-2.6,-0.5,-3.1,-0.2
Charles Cooke,0,,$0,SG,23,NOP,11,34,-3.4,0.233,0.583,0.167,0,6.2,3.2,3.6,1.4,0,7.2,17.7,-0.2,0,-0.1,-0.207,-9.9,-3.5,-13.4,-0.1
Channing Frye,7420912,Cap Space,"$7,420,912",C,34,TOT,50,643,14.2,0.626,0.544,0.078,1.9,19.8,11,7.5,1.3,1.8,7.8,14.9,1,0.5,1.6,0.118,-0.1,-0.9,-1,0.2
Channing Frye,7420912,Cap Space,"$7,420,912",C,34,CLE,44,545,13.9,0.604,0.533,0.089,2.1,20.2,11.3,7.5,1.5,1.9,8.8,15.7,0.7,0.5,1.2,0.105,-0.5,-0.8,-1.3,0.1
Channing Frye,7420912,Cap Space,"$7,420,912",C,34,LAL,6,98,15.5,0.792,0.625,0,1.1,17.3,9.3,7.4,0,1.7,0,10.4,0.3,0.1,0.4,0.191,2,-1.4,0.6,0.1
Chandler Parsons,23112004,Cap Space,"$72,321,773",SF,29,MEM,36,691,13.7,0.578,0.517,0.115,2.3,13.1,7.5,16.5,1.3,1.5,12.5,18.3,0.7,0.4,1.1,0.079,0.3,-1.5,-1.2,0.1
Cedi Osman,2642857,MLE,"$8,325,000",SF,22,CLE,57,584,10.9,0.605,0.442,0.227,2.7,17,10,6.8,1.6,0.4,14.2,15,0.4,0.4,0.8,0.068,-1.6,-1.5,-3.1,-0.2
Carmelo Anthony,26243760,Bird Rights,"$26,243,760",PF,33,OKC,75,2413,12.7,0.502,0.404,0.162,2.9,17.8,10.1,6.4,0.9,1.8,7.4,23.3,1.1,2.4,3.5,0.069,-2,-2,-3.9,-1.2
Caris LeVert,1632480,1st Round pick,"$3,335,280",SF,23,BRK,68,1781,14.2,0.523,0.335,0.258,3.1,12.1,7.6,26,2,0.9,15.6,22.6,0.7,1.4,2.1,0.056,-0.3,-0.3,-0.5,0.7
Cameron Payne,2203440,1st round pick,"$5,466,735",PG,23,CHI,21,476,14,0.494,0.429,0.079,3.3,9.5,6.3,28.9,2.2,1.7,13.3,19.3,0.3,0.4,0.6,0.065,-0.2,-0.6,-0.8,0.1
Caleb Swanigan,1465920,1st Round Pick,"$3,205,920",PF,20,POR,24,165,7.1,0.41,0.148,0.241,10.1,20.3,15.2,12.2,1.5,1.5,19,19.6,-0.3,0.2,0,-0.01,-5.7,0.9,-4.8,-0.1
C.J. Williams,0,,$0,SG,27,LAC,34,626,9.6,0.531,0.414,0.095,2,6.4,4.2,7.1,2.2,1.7,9.7,13.5,0.3,0.5,0.8,0.058,-1.2,0.2,-1,0.2
C.J. Miles,7936509,MLE,"$16,269,842",SF,30,TOR,66,1251,13.2,0.55,0.764,0.154,1.6,10.9,6.3,5.7,1.4,1.2,5.7,22.1,1.4,1.3,2.8,0.106,1.9,-2.4,-0.5,0.5
C.J. McCollum,23962573,1st Round Pick,"$106,633,450",SG,26,POR,77,2780,17.4,0.544,0.319,0.168,1.9,9.9,5.9,16,1.3,1,8.5,26.4,4,2.7,6.7,0.115,1.7,-1.1,0.6,1.9
Buddy Hield,3675480,1st Round pick,"$7,509,240",SG,24,SAC,77,1930,16,0.558,0.442,0.09,2.8,15.1,8.7,12.3,2,1,11.2,24.3,1.2,1.3,2.6,0.064,1.1,-1.6,-0.5,0.7
Bryn Forbes,1312611,Minimum Salary,"$1,312,611",SG,24,SAS,77,1462,9.1,0.523,0.457,0.141,0.8,7.3,4.1,8.1,0.9,0.1,6.8,16.7,0.7,1.3,2,0.065,-1.3,-1.8,-3.1,-0.4
Bruno Caboclo,2451225,1st Round Pick,"$2,451,225",SF,22,TOR,2,7,-0.1,0,1,0,0,15.8,8,16.7,7,0,0,12.5,0,0,0,-0.113,-6.8,4.3,-2.5,0
Bruno Caboclo,2451225,1st Round Pick,"$2,451,225",SF,22,SAC,9,92,9.2,0.424,0.536,0.214,8.3,15.6,11.8,6.1,1.1,4.1,11.5,16.9,-0.1,0.1,0,-0.004,-3.9,-0.6,-4.4,-0.1
Bruno Caboclo,2451225,1st Round Pick,"$2,451,225",SF,22,TOT,11,99,8.5,0.398,0.567,0.2,7.7,15.6,11.5,6.9,1.5,3.8,10.9,16.6,-0.1,0.1,0,-0.012,-4.1,-0.2,-4.3,-0.1
Brook Lopez,22642350,Bird Rights,"$22,642,350",C,29,LAL,70,1657,16.6,0.558,0.408,0.201,4.7,13.1,8.9,11.7,0.9,4.7,10.3,23.5,1.8,1.9,3.7,0.106,0.4,0.2,0.6,1.1
Brice Johnson,1331160,,"$1,331,160",PF,23,LAC,9,38,21.3,0.673,0.091,0.182,5.9,31.2,18.8,4,7.7,4.4,25.2,18.1,0,0.1,0.1,0.172,-2.6,6.5,3.9,0.1
Brice Johnson,1331160,,"$1,331,160",PF,23,TOT,18,98,18.2,0.486,0.024,0.119,10.4,25.4,17.9,3.4,4.5,5.5,10.2,22.3,0,0.2,0.2,0.085,-4.9,2.2,-2.7,0
Brice Johnson,1331160,,"$1,331,160",PF,23,MEM,9,60,16.2,0.418,0,0.097,13.2,21.8,17.4,3.1,2.5,6.3,3,25,-0.1,0.1,0,0.03,-6.3,-0.6,-6.9,-0.1
Briante Weber,83129,,$0,PG,25,TOT,18,237,10.1,0.527,0.256,0.233,3.8,13.1,8.4,13.1,3.8,1.9,24,11.7,0,0.4,0.4,0.072,-3.3,2.9,-0.4,0.1
Briante Weber,83129,,$0,PG,25,HOU,13,118,11.1,0.547,0.409,0.182,2.9,14.3,8.6,15.1,4.2,2.2,22.8,11.5,0.1,0.2,0.3,0.119,-2.4,3.6,1.2,0.1
Briante Weber,83129,,$0,PG,25,MEM,5,119,9.2,0.508,0.095,0.286,4.8,12,8.3,11.2,3.4,1.6,25.3,12,-0.1,0.1,0.1,0.026,-4.1,2.1,-2,0
Brandon Paul,815615,Minimum Salary,"$815,615",SG,26,SAS,61,558,7.2,0.493,0.43,0.339,1.2,12.2,6.7,9.2,2.3,1,16.8,13.4,-0.3,0.8,0.5,0.043,-3.8,1.1,-2.7,-0.1
Brandon Jennings,238020,,$0,PG,28,MIL,11,156,14,0.51,0.52,0.18,2.3,13.5,7.9,30.3,1.6,2.2,18.2,19.2,0.1,0.1,0.2,0.066,-1.1,-1.8,-2.9,0
Brandon Ingram,5519400,1st Round pick,"$11,276,520",SF,20,LAL,59,1975,13.9,0.536,0.138,0.371,3.1,13.8,8.5,17.6,1.1,1.8,14.4,22.2,1,1.8,2.8,0.068,-1.6,0.3,-1.3,0.3
Brandan Wright,5179760,,"$5,179,760",PF,30,MEM,27,366,19.4,0.595,0,0.333,9.9,19.8,14.7,5.9,1.8,6.4,6.6,14.9,0.8,0.5,1.3,0.165,-1.3,2.4,1.1,0.3
Brandan Wright,5179760,,"$5,179,760",PF,30,TOT,28,381,19,0.596,0,0.324,9.8,19.3,14.4,5.6,1.7,6.4,6.4,14.7,0.8,0.5,1.3,0.165,-1.3,2.3,1,0.3
Brandan Wright,5179760,,"$5,179,760",PF,30,HOU,1,15,11.2,0.667,0,0,7.6,7.5,7.5,0,0,5.7,0,8.8,0,0,0,0.156,-2.5,-0.7,-3.2,0
Bradley Beal,23775506,Cap Space,"$105,054,563",SG,24,WAS,78,2819,18.7,0.566,0.357,0.245,2.3,11.4,6.9,21.2,1.7,1.1,11.6,27.8,4.3,2.4,6.7,0.113,2.8,-1,1.9,2.7
Bojan Bogdanovic,10500000,Cap space,"$12,000,000",SF,28,IND,77,2386,13.8,0.603,0.454,0.244,1.4,10.9,6.2,7.1,1.1,0.3,10.2,18.9,3.6,1.6,5.1,0.103,1.1,-1.9,-0.8,0.7
Bogdan Bogdanovic,9470614,Cap space,"$27,000,000",SG,25,SAC,75,2089,13.8,0.564,0.426,0.161,1.5,10.7,5.9,18.3,1.7,0.7,13.1,19.6,2,0.9,2.9,0.067,0.7,-1.6,-0.9,0.6
Bobby Portis,1516320,1st Round pick,"$4,010,666",PF,22,CHI,69,1553,20,0.548,0.28,0.199,10.3,22.3,16.1,13.6,1.5,1.1,9.9,26,2.2,1.4,3.6,0.111,1.4,-0.7,0.7,1.1
Bobby Brown,1524305,,$0,PG,33,HOU,20,115,5.4,0.425,0.69,0.034,0,6.8,3.4,14.9,1.7,0,13.3,26,-0.3,0.1,-0.2,-0.08,-5,-4.3,-9.3,-0.2
Boban Marjanovic,7000000,Cap Space,"$14,000,000",C,29,TOT,35,286,25.1,0.611,0,0.621,13.9,29.8,21.7,12.5,1.5,3.3,16,28.8,0.8,0.5,1.2,0.208,-0.5,0.6,0.1,0.2
Boban Marjanovic,7000000,Cap Space,"$14,000,000",C,29,LAC,16,115,30.3,0.635,0,0.711,20.4,32.9,26.7,9.7,2.1,3.6,11.9,25.2,0.5,0.2,0.7,0.311,2.5,0.8,3.2,0.2
Boban Marjanovic,7000000,Cap Space,"$14,000,000",C,29,DET,19,171,21.6,0.597,0,0.57,9.5,27.7,18.4,14.4,1.2,3.1,18.2,31.2,0.2,0.3,0.5,0.139,-2.5,0.5,-2,0
Blake Griffin,29512900,Bird Rights,"$132,217,792",PF,28,TOT,58,1970,19.6,0.544,0.323,0.331,4.1,19.8,11.9,28.1,1,0.8,12.6,28.9,3.2,1.9,5,0.123,2.8,0,2.8,2.4
Blake Griffin,29512900,Bird Rights,"$132,217,792",PF,28,LAC,33,1139,20.5,0.553,0.324,0.379,4.5,20.5,12.6,25.6,1.3,0.7,12.8,29.3,2,1,3.1,0.129,3.1,0,3.1,1.5
Blake Griffin,29512900,Bird Rights,"$132,217,792",PF,28,DET,25,831,18.5,0.531,0.323,0.266,3.5,18.9,11,31.6,0.7,1,12.4,28.3,1.1,0.8,2,0.114,2.4,0,2.4,0.9
Bismack Biyombo,17000000,Cap Space,"$34,000,000",C,25,ORL,78,1428,13.9,0.556,0.003,0.455,10.7,23.9,17.3,6.4,0.7,5,17.4,14.5,1.1,1.7,2.8,0.093,-3.7,2.1,-1.5,0.2
Ben Simmons,6168840,1st Round pick,"$12,603,360",PG,21,PHI,77,2614,19.8,0.555,0.012,0.335,5.9,19.3,12.8,37.4,2.4,2.1,19.3,22.2,4,4.7,8.7,0.159,0.9,3.5,4.4,4.2
Ben Moore,0,,$0,PF,22,IND,2,9,-2.3,,,,0,12.5,6.3,13.1,0,0,,0,0,0,0,0.073,-5.3,0.2,-5,0
Ben McLemore,5200000,MLE,"$10,660,000",SG,24,MEM,52,968,9.2,0.517,0.424,0.166,3.6,11.4,7.4,7.5,1.9,1.4,14,19.5,-0.4,0.7,0.3,0.013,-2.6,-1.3,-3.9,-0.5
Bam Adebayo,2490360,1st Round Pick,"$5,446,200",C,20,MIA,66,1324,15.6,0.564,0.021,0.526,9.7,21.7,15.7,11.2,1.2,2.6,13.6,15.9,2.1,1.9,4.1,0.147,-1.7,2,0.3,0.8
Avery Bradley,8808989,Bird Rights,"$8,808,989",SG,27,LAC,6,165,9,0.492,0.164,0.036,2,12.4,7.3,9.8,1.5,0.5,12.5,16.7,-0.1,0.1,0,0.012,-3.5,-0.6,-4.1,-0.1
Avery Bradley,8808989,Bird Rights,"$8,808,989",SG,27,DET,40,1268,9.7,0.497,0.34,0.14,1.6,6.7,4.1,10.5,1.8,0.5,13.3,24.3,-1.3,1.2,-0.2,-0.007,-2.7,-1.4,-4.2,-0.7
Avery Bradley,8808989,Bird Rights,"$8,808,989",SG,27,TOT,46,1433,9.7,0.496,0.325,0.131,1.7,7.3,4.5,10.4,1.8,0.5,13.3,23.5,-1.4,1.3,-0.1,-0.005,-2.8,-1.3,-4.1,-0.8
Austin Rivers,11825000,Cap Space,"$11,825,000",SG,25,LAC,58,1965,12.9,0.531,0.445,0.193,1.5,6.3,4,17.1,1.8,0.7,10.8,20.7,1.5,1.1,2.6,0.064,1,-1.4,-0.4,0.8
Arron Afflalo,2328652,Minimum Salary,"$2,328,652",SG,32,ORL,51,657,5.5,0.508,0.425,0.17,0.7,10.5,5.5,6.2,0.3,1.1,11.3,12.4,-0.1,0.2,0.1,0.006,-4.3,-1.7,-6,-0.7
Aron Baynes,4328000,Room Exception,"$4,328,000",C,31,BOS,77,1402,11.7,0.506,0.037,0.187,9.1,22.3,15.8,9.4,0.7,2.8,14.6,16.4,0.4,2.4,2.8,0.097,-4,2.2,-1.8,0.1
Antonius Cleveland,92160,,$0,SG,23,TOT,14,93,5.4,0.402,0.125,0.375,2.3,12.2,7.2,2.9,3.2,4.8,17.7,11,-0.2,0.1,0,-0.001,-7.5,3.8,-3.7,0
Antonius Cleveland,92160,,$0,SG,23,DAL,13,81,5.1,0.317,0.071,0.286,2.7,11.3,6.9,3.3,3.7,4.4,11.3,10,-0.1,0.1,0,-0.003,-7.5,4.6,-3,0
Antonius Cleveland,92160,,$0,SG,23,ATL,1,12,7.3,0.868,0.5,1,0,18.6,9.3,0,0,7.2,41,17.8,0,0,0,0.017,-7.4,-1.2,-8.6,0
Antonio Blakeney,0,,$0,SG,21,CHI,19,314,10.1,0.471,0.364,0.273,1.3,10.2,5.6,10.1,1.1,0.3,6.4,23.7,-0.2,0.1,0,-0.004,-3.2,-3.5,-6.8,-0.4
Anthony Tolliver,3290000,Bi-annual Exception,"$3,290,000",PF,32,DET,75,1624,13.5,0.652,0.777,0.278,3.1,12.6,7.7,7.5,0.9,1.1,9.8,14.7,3.4,1.5,4.8,0.142,2,-0.7,1.2,1.3
Anthony Davis,23775506,1st Round Pick,"$76,302,788",PF,24,NOP,71,2582,28.9,0.615,0.113,0.406,7.8,24.9,16.6,10.8,2,5.5,8.7,29.8,8.5,4.5,13,0.241,3,2.3,5.3,4.7
Anthony Brown,0,,$0,SF,25,MIN,1,4,41.9,1.5,1,0,0,0,0,41.7,0,0,0,11.1,0,0,0,0.57,17.2,-15.1,2.1,0
Ante Zizic,1645200,1st Round Pick,"$3,597,960",C,21,CLE,30,186,23.2,0.737,0,0.351,13.5,18.4,16,4.4,0.3,6,13.2,18.1,0.7,0.2,0.8,0.219,1,-0.6,0.4,0.1
Andrew Wiggins,7574322,1st Round Pick,"$154,024,322",SF,22,MIN,78,2832,13.2,0.509,0.26,0.244,3,10.7,6.8,8,1.5,1.5,8.9,23.6,0.5,1.4,1.9,0.032,-1,-1.5,-2.6,-0.4
Andrew White,0,,$0,SF,24,ATL,15,209,5.8,0.461,0.671,0.055,2.1,16,9.1,4.3,0.7,0.4,9.7,17.3,-0.2,0.1,-0.1,-0.034,-4.3,-2.9,-7.2,-0.3
Andrew Harrison,1312611,Cap Space,"$1,312,611",PG,23,MEM,56,1326,12.7,0.534,0.331,0.371,2,9.7,5.7,21.4,1.5,1.8,14,19.7,1,0.8,1.8,0.064,-0.9,-1.4,-2.3,-0.1
Andrew Bogut,2328652,,$0,C,33,LAL,23,216,10.9,0.696,0,0.08,12.9,25.5,19.3,9.1,0.9,4.9,42.3,8.8,0.1,0.3,0.4,0.094,-3.6,3.6,0,0.1
Andre Roberson,9259259,Bird Rights,"$30,000,000",SG,26,OKC,39,1037,10.9,0.543,0.222,0.235,7.7,12.2,9.9,6,2.2,3.1,14.4,8.6,0.8,1.3,2.1,0.099,-1.4,2.8,1.4,0.9
Andre Iguodala,14814815,Bird Rights,"$48,000,000",SF,34,GSW,63,1601,11.3,0.539,0.36,0.277,3.8,12.5,8.5,16,1.6,1.9,16,11.5,1.6,1.7,3.3,0.098,-0.7,1,0.4,1
Andre Drummond,23775506,Cap Space,"$76,302,788",C,24,DET,76,2541,23,0.556,0.011,0.453,16.5,36.6,26.3,14.3,2.2,4.3,16,21.2,4.4,5.6,10.1,0.19,0.2,5.3,5.5,4.8
Amir Johnson,11000000,Cap space,"$11,000,000",C,30,PHI,70,1094,14.2,0.563,0.123,0.353,11.7,18.3,15.1,13.3,1.9,3.3,16.6,12.7,1.7,1.9,3.6,0.158,-0.6,3.3,2.7,1.3
Allen Crabbe,19332500,Cap Space,"$37,832,500",SG,25,BRK,71,2085,11.1,0.54,0.634,0.155,1.3,14.3,7.7,7.9,1,1.1,8.4,18.6,1,1.3,2.2,0.051,-0.3,-1.2,-1.5,0.3
Alfonzo McKinnie,815615,Minimum Salary,"$815,615",SF,25,TOR,13,49,9.2,0.663,0.615,0.231,0,13.5,6.9,2.9,1,1.6,17.3,15.5,0,0.1,0.1,0.076,-1.8,-1.5,-3.3,0
Al-Farouq Aminu,7319035,Cap Space,"$14,276,140",PF,27,POR,65,1950,12.4,0.529,0.586,0.144,5.1,22.3,13.8,5.8,1.9,1.5,10.7,14.9,1.2,3,4.2,0.103,-0.5,1.7,1.2,1.6
Alex Poythress,778668,Two-Way Converted,"$778,668",PF,24,IND,24,101,8.5,0.52,0.44,0,7.9,11.1,9.5,2.7,1.5,0.9,7.4,11.9,0.1,0.1,0.2,0.078,-1.8,-1.6,-3.5,0
Alex Len,4187599,1st Round Pick,"$4,187,599",C,24,PHO,66,1324,19.4,0.615,0.003,0.638,13.4,27.2,20.1,8.5,1,3.7,14.2,16.6,3,1.2,4.3,0.155,-0.5,1.3,0.8,0.9
Alex Caruso,0,,$0,PG,23,LAL,33,476,8.1,0.517,0.36,0.247,2.3,8.7,5.5,17.7,1.9,1.7,26.2,11.9,-0.1,0.5,0.3,0.035,-3.8,0.4,-3.5,-0.2
Alex Abrines,5725000,Cap Space,"$11,180,236",SG,24,OKC,73,1095,9.1,0.573,0.755,0.145,2.3,8.8,5.5,3.4,1.6,0.7,7.7,12.7,1.3,0.9,2.2,0.095,-0.6,-1.8,-2.3,-0.1
Alec Peters,0,,$0,PF,22,PHO,17,175,5.1,0.375,0.833,0.125,4.2,11.8,7.9,7.9,0.3,0.9,3.8,12.7,-0.1,0,-0.1,-0.029,-3.1,-2.6,-5.7,-0.2
Alec Burks,10845506,1st Round Pick,"$22,382,021",SG,26,UTA,62,1030,13.1,0.526,0.335,0.31,2,18.4,10.3,9.8,1.8,0.7,11.3,22.4,0.2,1.5,1.7,0.081,-2.7,-0.3,-3,-0.3
Alan Williams,6000000,Cap space,"$6,000,000",PF,25,PHO,5,70,9.3,0.455,0,0.5,4.5,29.6,16.8,16.4,3.4,1.2,24.2,17.5,-0.1,0.1,0,-0.004,-6.5,2.7,-3.7,0
Al Jefferson,9769821,Cap Space,"$13,769,821",C,33,IND,34,462,19.9,0.557,0.005,0.163,7.4,25.3,16.4,10.1,1.7,4.4,8.7,22.2,0.7,0.8,1.5,0.154,-1.8,1.4,-0.5,0.2
Al Horford,27734405,Cap Space,"$56,663,115",C,31,BOS,70,2219,17.5,0.577,0.301,0.153,4.8,20.1,12.6,23.9,0.9,2.9,14.3,18.4,3.8,3.8,7.6,0.164,1.1,3,4.1,3.4
Adreian Payne,0,,$0,PF,26,ORL,5,43,18.8,0.831,0.3,0.6,5.1,18.1,11.5,0,2.3,0,13.7,15,0.1,0,0.2,0.204,0.1,-4.1,-4,0
Abdel Nader,1167333,,"$1,617,333",SF,24,BOS,44,463,5.7,0.464,0.477,0.269,2.4,12.1,7.3,7.2,1.4,1.6,17.1,16.9,-0.6,0.7,0,0.004,-5.3,0.3,-5,-0.3
Aaron Harrison,83129,,$0,SG,23,DAL,7,164,6.6,0.411,0.644,0.244,1.3,12.6,6.8,8.6,2.1,1.1,3.9,14.4,-0.1,0.2,0.1,0.019,-3.2,0.3,-2.9,0
Aaron Gordon,5504420,1st Round Pick,"$5,504,420",PF,22,ORL,55,1838,16.6,0.531,0.393,0.263,5.2,21.8,13.4,11.7,1.4,1.9,9.7,24.5,1.1,1.9,3,0.078,0.1,-0.1,0.1,1
Aaron Brooks,2116955,,"$2,116,955",PG,33,MIN,31,188,10.1,0.508,0.449,0.159,4.3,6.2,5.2,15.2,1.6,0,11.9,19.7,0.1,0.1,0.2,0.039,-0.5,-3.7,-4.1,-0.1
Álex Abrines\abrinal01,,,,SG,25,OKC,31,588,6.3,0.507,0.809,0.083,0.9,7.8,4.2,4.3,1.3,0.9,7.9,12.2,0.1,0.6,0.6,0.053,-3.7,0.4,-3.3,-0.2
Quincy Acy\acyqu01,,,,PF,28,PHO,10,123,2.9,0.379,0.833,0.556,2.7,20.1,11.3,8.2,0.4,2.7,15.2,9.2,-0.1,0,-0.1,-0.022,-7.6,-0.5,-8.1,-0.2
Jaylen Adams\adamsja01,270014,,,PG,22,ATL,34,428,7.6,0.474,0.673,0.082,2.6,12.3,7.4,19.8,1.5,1,19.7,13.5,-0.1,0.2,0.1,0.011,-3.8,-0.5,-4.3,-0.2
Steven Adams\adamsst01,24157303,,,C,25,OKC,80,2669,18.5,0.591,0.002,0.361,14.7,14.8,14.7,6.6,2,2.4,12.6,16.4,5.1,4,9.1,0.163,0.7,0.4,1.1,2.1
Bam Adebayo\adebaba01,2955840,,,C,21,MIA,82,1913,17.9,0.623,0.031,0.465,9.2,24,16.6,14.2,1.8,3,17.1,15.8,3.4,3.4,6.8,0.171,-0.4,2.2,1.8,1.8
Deng Adel\adelde01,,,,SF,21,CLE,19,194,2.7,0.424,0.639,0.111,1.6,9.6,5.4,3.4,0.3,1.8,13.7,9.9,-0.2,0,-0.2,-0.054,-6,-1.6,-7.5,-0.3
DeVaughn Akoon-Purcell\akoonde01,,,,SG,25,DEN,7,22,8.2,0.322,0.4,0.2,4.9,14.8,9.8,37.1,4.5,0,15.5,25,-0.1,0,0,-0.051,-7.9,2.1,-5.8,0
LaMarcus Aldridge\aldrila01,22347015,,,C,33,SAS,81,2687,22.9,0.576,0.032,0.312,10.3,19.8,15.1,11.6,0.8,3.4,8.8,26.9,6.4,2.9,9.3,0.167,2.4,-0.6,1.8,2.6
Rawle Alkins\alkinra01,,,,SG,21,CHI,10,120,8.1,0.418,0.308,0.308,9.9,13.7,11.8,15.2,0.4,0,15.3,19,-0.1,0,-0.1,-0.042,-3.8,-3.5,-7.3,-0.2
Grayson Allen\allengr01,2074320,,,SG,23,UTA,38,416,7.5,0.516,0.556,0.337,0.8,5.1,3,8.9,0.7,1.1,13.9,24.4,-0.4,0.4,0,0.002,-4.2,-2.1,-6.3,-0.5
Jarrett Allen\allenja01,2034120,,,C,20,BRK,80,2096,18.5,0.632,0.079,0.489,9.6,24,16.8,7.9,1,4.5,13,15.9,4.4,3.3,7.6,0.175,0.2,1.4,1.6,1.9
Kadeem Allen\allenka01,,,,SG,26,NYK,19,416,16.2,0.574,0.255,0.383,2,11.1,6.4,28.7,1.9,0.8,13.6,19.6,0.7,0.2,1,0.111,0.3,0.3,0.6,0.3
Al-Farouq Aminu\aminual01,6957105,,,PF,28,POR,81,2292,13.2,0.568,0.472,0.292,5.3,22.6,14.2,6,1.4,1.2,9.7,13.7,3,2.8,5.8,0.121,0.1,0.6,0.7,1.5
Justin Anderson\anderju01,2516048,,,SF,25,ATL,48,463,11.2,0.516,0.49,0.223,5.3,13.9,9.5,6.9,2.2,2.4,11.8,17.2,0.1,0.4,0.4,0.043,-2.4,-0.3,-2.7,-0.1
Kyle Anderson\anderky01,,,,SF,25,MEM,43,1281,12.8,0.569,0.123,0.232,4.1,18.1,11,15,2.1,2.7,16,12.6,0.8,1.8,2.7,0.1,-1.6,2.4,0.8,0.9
Ryan Anderson\anderry01,20421546,,,PF,30,TOT,25,322,4.6,0.414,0.58,0.232,6.1,12.5,9.2,7.8,0.6,0.3,15.5,12,-0.3,0,-0.2,-0.035,-4.5,-1.9,-6.4,-0.4
Ryan Anderson\anderry01,20421546,,,PF,30,PHO,15,278,4.6,0.423,0.567,0.233,5.5,12.5,9,8.1,0.5,0.3,15.4,12.1,-0.2,0,-0.2,-0.039,-4.5,-1.9,-6.3,-0.3
Ryan Anderson\anderry01,20421546,,,PF,30,MIA,10,44,4.5,0.354,0.667,0.222,9.7,12.1,10.9,5.8,1.1,0,16.8,11.6,0,0,0,-0.009,-4.6,-1.9,-6.5,0
Ike Anigbogu\anigbik01,1378242,,,C,20,IND,3,6,-6,0,0,0,18.9,36.2,27.7,19.4,0,14.8,25,29.1,-0.1,0,-0.1,-0.48,-14,-2.3,-16.2,0
Giannis Antetokounmpo\antetgi01,24157303,,,PF,24,MIL,72,2358,30.9,0.644,0.163,0.55,7.3,30,19.3,30.3,1.8,3.9,14.8,32.3,8.9,5.5,14.4,0.292,6.3,4.1,10.4,7.4
Kostas Antetokounmpo\antetko01,,,,PF,21,DAL,2,11,-0.9,0.21,0,1.333,0,9.7,4.9,0,8.8,0,17.4,22.5,-0.1,0,-0.1,-0.247,-12.6,-0.1,-12.7,0
Carmelo Anthony\anthoca01,1512601,,,PF,34,HOU,10,294,10.9,0.513,0.529,0.182,3.3,17.3,10.2,2.6,0.7,2,5.8,20.5,0.1,0.2,0.3,0.048,-1.3,-1.4,-2.7,-0.1
OG Anunoby\anunoog01,2034120,,,SF,21,TOR,67,1352,9.8,0.544,0.5,0.153,4.8,10.8,7.9,4.7,1.6,1.3,11.3,15.5,0.3,1.7,2,0.07,-2.4,0.1,-2.4,-0.1
Ryan Arcidiacono\arcidry01,1349383,,,PG,24,CHI,81,1961,11.6,0.588,0.519,0.244,1.5,10.8,6.1,18.9,1.6,0.2,12,11.7,2.8,0.9,3.7,0.09,-2,0.1,-1.9,0.1
Trevor Ariza\arizatr01,15000000,,,SF,33,TOT,69,2349,12,0.534,0.59,0.223,2.3,15.2,8.6,14.8,1.8,0.7,11.6,16.6,1.3,1.2,2.5,0.052,-0.7,-0.6,-1.3,0.4
Trevor Ariza\arizatr01,15000000,,,SF,33,PHO,26,884,10.5,0.525,0.612,0.189,2,16.4,9.1,13.5,2.1,0.8,13.7,13.8,0.2,0.5,0.6,0.035,-1.1,0,-1.1,0.2
Trevor Ariza\arizatr01,15000000,,,SF,33,WAS,43,1465,13,0.538,0.58,0.238,2.5,14.5,8.4,15.5,1.7,0.7,10.6,18.2,1.1,0.8,1.9,0.062,-0.5,-0.9,-1.4,0.2
D.J. Augustin\augusdj01,,,,PG,31,ORL,81,2269,15.7,0.616,0.459,0.309,1.9,7.8,4.8,26.9,1.1,0.1,14.3,17.2,5,1.9,6.9,0.146,1.1,-0.7,0.5,1.4
