Player,Salary,Signed Using,Guaranteed,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Joe Ingles\inglejo01,2150000,,,SF,29,UTA,82,1972,12.4,0.604,0.619,0.151,1.4,13.6,7.6,17.2,2.6,0.3,18.2,13.9,2,3,5,0.123,-0.7,2.3,1.6,1.8
Brandon Ingram\ingrabr01,5281680,,,SF,19,LAL,79,2279,8.5,0.474,0.273,0.312,2.8,12.7,7.6,10.5,1.1,1.3,12.9,16.8,-1,0.7,-0.3,-0.007,-3,-1.4,-4.4,-1.4
Kyrie Irving\irvinky01,17638063,,,PG,24,CLE,72,2525,23,0.58,0.311,0.231,2.3,7.5,5,29.7,1.6,0.8,10.3,30.8,7.4,1.5,8.9,0.17,4.7,-1.3,3.4,3.4
Jarrett Jack\jackja01,57672,,,PG,33,NOP,2,33,7.7,0.773,0.333,0.667,0,0,0,20.3,3,0,43.6,9.2,0,0,0,0.06,-4.8,3.4,-1.4,0
Demetrius Jackson\jacksde01,1450000,,,PG,22,BOS,5,17,30.8,0.753,0.25,1.5,13.2,13,13.1,28.2,0,0,0,17.3,0.1,0,0.1,0.386,9.7,0.1,9.8,0.1
Pierre Jackson\jackspi01,31969,,,PG,25,DAL,8,84,13,0.416,0.282,0.179,1.3,11.6,6.2,38,1.2,0,6.7,25.3,0,0.1,0,0.021,-2.7,-1.7,-4.4,-0.1
Reggie Jackson\jacksre01,14956522,,,PG,26,DET,52,1424,14.9,0.51,0.272,0.201,1.5,7.4,4.4,30.3,1.2,0.3,13.4,26.4,0.8,1.2,1.9,0.065,0.4,-1.4,-1,0.4
LeBron James\jamesle01,30963450,,,SF,32,CLE,74,2794,27,0.619,0.254,0.395,4,20.7,12.6,41.3,1.6,1.3,16.1,30,9.8,3,12.9,0.221,6.4,1.2,7.6,6.7
Al Jefferson\jeffeal01,10314532,,,C,32,IND,66,931,18.9,0.526,0.002,0.18,9.2,24.2,16.8,11,1,1.5,6.1,26.1,1.2,1.1,2.3,0.119,-0.3,-1.1,-1.4,0.1
Richard Jefferson\jefferi01,2500000,,,SF,36,CLE,79,1614,8.3,0.574,0.542,0.315,2,11.6,6.9,6.6,0.8,0.5,11.8,12.2,1.3,0.8,2.1,0.063,-2.5,-0.6,-3.1,-0.4
John Jenkins\jenkijo01,1050961,,,SG,25,PHO,4,13,17.3,0.595,0.4,0.4,0,8.6,4.2,11.5,0,0,0,18.9,0,0,0,0.167,4.3,-2.1,2.2,0
Brandon Jennings\jennibr01,5000000,,,PG,27,TOT,81,1802,12.1,0.479,0.471,0.284,1.8,10.1,5.9,30.4,1.9,0.2,17.5,17.6,0.7,1,1.7,0.046,-1.2,-1.2,-2.4,-0.2
Brandon Jennings\jennibr01,5000000,,,PG,27,NYK,58,1428,12.7,0.508,0.466,0.315,1.6,9.9,5.7,28.6,1.9,0.2,17.8,18.1,0.8,0.7,1.5,0.052,-0.8,-1.2,-2,0
Brandon Jennings\jennibr01,5000000,,,PG,27,WAS,23,374,9.7,0.357,0.491,0.16,2.4,10.8,6.6,37.2,2,0,16.2,15.8,-0.1,0.3,0.2,0.025,-2.8,-1.2,-4,-0.2
Jonas Jerebko\jerebjo01,5000000,,,PF,29,BOS,78,1232,9.3,0.537,0.496,0.141,5.4,19.1,12.3,8.1,1,1.1,12.3,11.4,0.8,1.3,2.1,0.08,-2.3,0,-2.4,-0.1
Amir Johnson\johnsam01,12000000,,,PF,29,BOS,80,1608,15,0.628,0.178,0.27,8.3,17,12.7,13,1.6,3.2,15.7,13.6,2.9,2.1,5,0.149,-0.7,1.3,0.6,1.1
Brice Johnson\johnsbr02,1273920,,,PF,22,LAC,3,9,17.2,0.286,0,0,12.8,24.2,18.6,18.6,11.1,9.1,12.5,39.8,-0.1,0,0,-0.165,-6.6,4.5,-2,0
James Johnson\johnsja01,4000000,,,PF,29,MIA,76,2085,17,0.564,0.333,0.28,3.5,16.6,10,20.9,1.8,3.2,16.5,22,1.9,3.2,5.1,0.117,1.1,1.7,2.8,2.5
Joe Johnson\johnsjo02,11000000,,,SF,35,UTA,78,1843,12.8,0.542,0.412,0.123,2.1,12.8,7.6,12.6,1,0.8,9.5,18.5,1.7,2.1,3.8,0.099,0.4,0.1,0.4,1.1
Stanley Johnson\johnsst04,2969880,,,SF,20,DET,77,1371,7.2,0.436,0.422,0.145,2.8,12.7,7.5,10.5,2.1,1.5,15.5,14.8,-1.4,1.8,0.4,0.012,-4.4,1.4,-3,-0.3
Tyler Johnson\johnsty01,5628000,,,PG,24,MIA,73,2178,15.9,0.535,0.303,0.308,2.5,12.5,7.4,16.6,1.9,1.6,8.8,20.9,3.1,2.7,5.8,0.128,0.4,1,1.4,1.8
Wesley Johnson\johnswe01,5628000,,,SF,29,LAC,68,810,8.4,0.448,0.59,0.085,3.7,20.8,12.5,3.9,1.8,3,8,12.5,-0.3,1.2,0.9,0.051,-3.1,1.1,-2,0
Nikola Jokić\jokicni01,,,,C,21,DEN,73,2038,26.3,0.64,0.163,0.267,11.6,27.2,19.5,28.8,1.5,2.1,15.2,23.5,7.7,2,9.7,0.228,5.9,1.4,7.3,4.8
Dahntay Jones\jonesda02,5767,,,SF,36,CLE,1,12,14.7,0.461,0.25,0.5,9.5,8.9,9.2,14.5,0,0,9.3,39.9,0,0,0,-0.03,-0.4,-4.4,-4.8,0
Damian Jones\jonesda03,1171560,,,C,21,GSW,10,85,5.3,0.466,0,0.625,12.4,17,14.8,0,0.6,3.7,22.7,13.4,-0.1,0.1,0,0.018,-7.7,-1.9,-9.7,-0.2
Derrick Jones Jr.\jonesde02,543471,,,SF,19,PHO,32,545,12,0.604,0.091,0.339,7.6,8.2,7.9,3.1,1.2,1.9,8.6,11.7,0.9,0.2,1.1,0.098,-1.6,-0.7,-2.3,0
James Jones\jonesja02,980431,,,SF,36,CLE,48,381,11.1,0.655,0.717,0.217,0.9,9.5,5.4,5.2,0.8,2.1,9,13,0.6,0.2,0.8,0.102,-0.1,-0.3,-0.3,0.2
Terrence Jones\joneste01,980431,,,PF,25,TOT,54,1270,16.1,0.515,0.152,0.346,5.4,20.2,12.7,7.5,1.5,3.5,7.8,21.4,0.4,1.9,2.3,0.086,-1,0.4,-0.6,0.5
Terrence Jones\joneste01,980431,,,PF,25,NOP,51,1264,16.2,0.518,0.153,0.348,5.4,20,12.6,7.5,1.5,3.4,7.8,21.4,0.5,1.8,2.3,0.088,-0.9,0.4,-0.5,0.5
Terrence Jones\joneste01,980431,,,PF,25,MIL,3,6,1.5,0,0,0,0,57.6,29.1,0,8.5,14.7,0,22.8,-0.1,0,0,-0.312,-13.4,2.9,-10.6,0
Tyus Jones\jonesty01,1339680,,,PG,20,MIN,60,774,13.8,0.523,0.403,0.238,1.5,8.7,5,28,3.1,0.6,16,13.6,1,0.6,1.5,0.096,-0.6,0.7,0.2,0.4
DeAndre Jordan\jordade01,21165675,,,C,28,LAC,81,2570,21.8,0.673,0.003,0.737,13.3,34.6,24.2,5.7,1,4.3,13.1,15.3,7.2,4.6,11.8,0.221,2.5,0.9,3.3,3.5
Cory Joseph\josepco01,7315000,,,PG,25,TOR,80,2003,13.2,0.518,0.204,0.185,2.9,10.4,6.6,20,1.7,0.6,13.1,18.4,1.7,1.7,3.4,0.082,-0.9,-0.4,-1.3,0.4
Frank Kaminsky\kaminfr01,2730000,,,C,23,CHO,75,1954,13,0.502,0.441,0.195,3.2,15.8,9.5,13.5,1.2,1.5,8,21.8,0.4,1.9,2.3,0.056,-0.5,-0.6,-1.2,0.4
Enes Kanter\kanteen01,17145838,,,C,24,OKC,72,1533,23.7,0.599,0.052,0.387,14.1,20.8,17.4,7.9,1,2,12.5,27.3,4,1.8,5.8,0.183,3,-1.3,1.7,1.4
Ryan Kelly\kellyry01,286785,,,PF,25,ATL,16,110,7.8,0.408,0.357,0.214,1,16.7,9,10.2,1.8,3.9,11.5,13.7,-0.1,0.2,0.1,0.029,-4.6,1.4,-3.1,0
Michael Kidd-Gilchrist\kiddgmi01,13000000,,,SF,23,CHO,81,2349,14.3,0.528,0.015,0.314,7.3,19.3,13.2,7.4,1.7,2.9,7.4,14.6,2.7,3.1,5.8,0.119,-1.6,0.9,-0.7,0.7
